client_id,signup_date,industry,plan_type,contract_length_months,monthly_revenue,onboarding_days,support_tickets_90d,avg_logins_per_week,days_since_last_login,late_payments_count,nps_score,churned
CLT-1000,2024-01-22,Real Estate,Pro,6,825.36,7,2,3.8,22,1,53.0,0
CLT-1001,2023-05-10,Healthcare,Basic,6,384.75,8,3,7.2,1,2,54.0,0
CLT-1002,2024-10-23,Education,Enterprise,6,2531.25,14,1,8.3,1,0,,0
CLT-1003,2024-12-30,Logistics,Pro,12,981.04,1,6,4.2,16,4,19.0,0
CLT-1004,2024-11-13,Real Estate,Basic,6,280.11,21,4,1.9,2,0,28.0,0
CLT-1005,2024-09-26,Real Estate,Enterprise,1,3029.14,6,3,0.6,0,1,47.0,0
CLT-1006,2023-07-31,Logistics,Pro,1,1141.76,10,5,7.8,5,1,89.0,0
CLT-1007,2024-04-22,Education,Pro,24,903.29,12,3,1.6,8,0,0.0,0
CLT-1008,2023-04-05,Real Estate,Basic,1,410.11,14,2,6.1,3,0,70.0,0
CLT-1009,2023-12-03,SaaS,Basic,1,245.51,11,5,7.3,9,1,36.0,0
CLT-1010,2024-03-31,SaaS,Basic,12,263.93,13,1,3.5,9,0,51.0,0
CLT-1011,2024-08-24,eCommerce,Enterprise,6,2883.18,14,1,4.5,17,0,35.0,1
CLT-1012,2023-03-29,Real Estate,Pro,24,1098.76,10,2,8.0,22,2,65.0,0
CLT-1013,2025-01-01,Logistics,Pro,24,855.37,8,4,2.6,17,1,38.0,0
CLT-1014,2024-02-18,Education,Basic,12,339.73,23,4,2.3,15,1,14.0,0
CLT-1015,2025-03-04,eCommerce,Basic,12,297.31,1,2,4.3,13,0,41.0,0
CLT-1016,2024-04-19,Education,Pro,6,1019.21,12,4,8.8,9,0,58.0,0
CLT-1017,2024-05-07,Logistics,Basic,1,358.68,10,2,9.8,0,2,30.0,0
CLT-1018,2024-09-15,SaaS,Pro,6,1245.32,17,3,4.7,15,1,-22.0,0
CLT-1019,2025-01-07,Healthcare,Pro,1,966.08,2,3,2.9,4,1,27.0,0
CLT-1020,2023-05-22,Healthcare,Pro,1,1070.04,10,3,8.2,1,3,32.0,0
CLT-1021,2024-04-05,Finance,Basic,12,344.05,13,6,0.0,0,2,29.0,0
CLT-1022,2023-01-27,Finance,Enterprise,1,2476.33,23,2,5.7,2,3,18.0,0
CLT-1023,2024-03-03,Education,Enterprise,1,2379.6,17,0,4.9,2,0,63.0,0
CLT-1024,2025-01-02,Real Estate,Pro,12,1253.45,5,2,8.9,1,2,-29.0,0
CLT-1025,2025-02-17,Real Estate,Basic,12,277.23,10,2,9.2,16,1,32.0,0
CLT-1026,2023-09-13,Healthcare,Basic,1,382.25,21,2,2.2,9,2,33.0,1
CLT-1027,2023-12-14,Education,Basic,1,266.39,4,4,5.5,2,2,82.0,0
CLT-1028,2024-05-11,SaaS,Basic,6,384.78,13,2,3.3,9,1,30.0,0
CLT-1029,2023-12-23,eCommerce,Pro,6,820.29,14,4,4.1,0,0,41.0,0
CLT-1030,2023-06-10,SaaS,Pro,12,1242.26,11,2,6.9,21,2,33.0,0
